lev_id,E_calc,J,P,lev_name
232,22.43325,13/2,0,id 232 E_c 22433.25 4f(4)3L1.6s_4L 13/2
233,22.4393,11/2,0,id 233 E_c 22439.3 4f(4)3H4.6s_2H 11/2
234,22.45838,9/2,1,id 234 E_c 22458.38 4f(3)4I1.5d_5G.6s_4G 9/2
235,22.62646,13/2,1,id 235 E_c 22626.46 4f(3)4I1.5d_5I.6s_4I 13/2
236,22.66332,7/2,0,id 236 E_c 22663.32 4f(4)5F1.5d_6F 7/2
237,22.71783,21/2,1,id 237 E_c 22717.83 4f(3)4I1.5d(2)3F2_4M 21/2
238,22.76897,19/2,0,id 238 E_c 22768.97 4f(4)3K2.5d_4M 19/2
239,22.77721,15/2,1,id 239 E_c 22777.21 4f(3)4I1.5d(2)1G2_4M 15/2
240,22.78112,15/2,0,id 240 E_c 22781.12 4f(4)3L1.6s_4L 15/2
241,22.80279,5/2,0,id 241 E_c 22802.79 4f(4)3D1.6s_4D 5/2
242,22.8211,13/2,0,id 242 E_c 22821.1 4f(4)5F1.5d_6G 13/2
243,22.82529,11/2,1,id 243 E_c 22825.29 4f(3)4I1.5d_3H.6s_2H 11/2
244,22.84204,7/2,1,id 244 E_c 22842.04 4f(4)5I1.6p_4H 7/2
245,22.85841,17/2,1,id 245 E_c 22858.41 4f(3)4I1.5d(2)1D2_4K 17/2
246,22.8822,5/2,1,id 246 E_c 22882.2 4f(3)4I1.5d(2)3F2_4F 5/2
247,22.88852,13/2,1,id 247 E_c 22888.52 4f(4)5I1.6p_6I 13/2
248,22.95462,3/2,0,id 248 E_c 22954.62 4f(4)3D1.6s_4D 3/2
249,22.98005,11/2,1,id 249 E_c 22980.05 4f(3)4I1.5d(2)3F2_4G 11/2
250,22.99972,13/2,1,id 250 E_c 22999.72 4f(3)4I1.5d_3H.6s_4H 13/2
251,23.00234,9/2,0,id 251 E_c 23002.34 4f(4)5G1.6s_4G 9/2
252,23.09027,11/2,1,id 252 E_c 23090.27 4f(3)4I1.5d(2)3P2_4K 11/2
253,23.1767,9/2,0,id 253 E_c 23176.7 4f(4)5F1.5d_6F 9/2
254,23.18531,13/2,1,id 254 E_c 23185.31 4f(3)4I1.5d(2)1G2_4L 13/2
