wn_obs,wn_obs_unc,I_obs,snr_obs
17.642689409,9.1621195681e-06,498.27272874,6.8199086488
17.642881809,1.0777586669e-05,559.76122575,4.9799757775
17.643549088,2.3380136627e-05,1557.8737554,5.2167313009
17.644020912,1.9824493829e-05,1102.6480618,5.1952020036
17.644803579,1.0661279106e-05,2180.3327595,15.698813692
17.64504996,6.0439717418e-06,7829.9869814,32.181791055
17.645479339,1.3259640234e-05,1009.6868138,8.5278376492
17.646011976,2.4026992654e-05,626.48712217,4.49267019
17.646560351,6.9459944073e-06,6173.405744,27.919671741
17.648320507,3.1082318919e-05,1101.9318651,4.3367983323
17.649039057,2.4690674063e-05,603.88721668,4.7524566196
17.649568679,2.2423543942e-05,1409.4731995,5.9204999479
17.649816664,1.0165444639e-05,825.73125365,8.9513555327
17.650181752,1.9300147037e-05,1776.0887269,6.7663201111
17.651017277,1.5735505879e-05,2986.0211527,12.189641757
17.651672515,1.0653144376e-05,3706.9503728,18.408751399
17.6522738,7.0219923758e-06,2557.5303778,12.800890522
17.652828174,1.1149330236e-05,1216.8499427,7.8544034403
17.654099481,2.8140219264e-05,1042.9089749,5.7396450518
17.654711012,3.2951560594e-05,739.80151982,4.0250546169
17.655027293,1.4678803736e-05,434.93286664,4.3660658662
17.655318309,1.69287356e-06,10681.102643,61.924623698
17.655559149,7.7855457256e-06,1684.2460368,11.866614479
17.655917831,1.1494058408e-05,263.1098716,5.0447813648
17.656317375,6.9284189551e-06,2929.5192795,13.531473142
17.657044751,1.2979742631e-05,504.01897652,5.7568335096
17.657356003,5.3390300587e-06,2967.8121875,16.057982655
17.658486674,8.9206832467e-06,4408.8352407,21.07208298
17.659423029,3.0361061617e-05,1930.2196098,4.711716969
17.663638948,1.9557244582e-06,23159.88603,163.19999984
17.666959389,1.4499071726e-05,1864.6669087,7.616090151
17.667850282,1.3580789512e-06,11247.890939,84.776059849
17.668462799,1.2807047696e-05,100.47483631,3.1215020338
17.669641257,1.8217049788e-05,1080.4239248,5.4428472111
17.671107702,1.1939429962e-05,2643.9255613,14.152249051
17.672275531,1.7230508169e-05,1119.0992561,5.7220574502
17.672552842,4.4005235286e-06,2733.5186003,27.669772734
17.673334034,1.8380482276e-05,109.38739457,3.3362039693
17.673858001,1.9001067529e-05,4568.6176021,13.055428326
17.674815972,1.7905843246e-05,586.40007892,5.0597699548
17.676250825,1.1227336958e-05,929.90320507,7.1347100384
17.67657422,1.0346042601e-05,1354.7465071,8.5610748117
17.677016907,1.7288612575e-05,1686.1660621,6.5480171679
17.678637627,5.0391626789e-06,6372.2280141,35.043562053
17.679333064,1.9289598315e-05,981.72713513,5.0728396427
17.679651324,1.0448773028e-05,1799.7115112,9.3628363907
17.681846245,1.5760644104e-05,837.11642938,5.4959876624
17.682538313,1.8411368901e-05,2133.9544802,6.8018944558
17.683008309,4.3412842893e-06,10659.206341,47.014072532
17.683975407,4.0107457334e-05,2493.7153716,4.2653298275
17.685853016,1.5270896989e-05,2515.3814233,8.1364257782
17.688000365,1.7659435649e-06,8111.0905868,58.749805867
17.68828602,1.4476929234e-05,1752.1439895,12.586891674
17.688790071,2.1956407311e-05,2582.93956,11.433464907
17.689502906,7.6621493912e-06,2581.0915786,13.381828535
17.69024441,1.2794972053e-06,10102.043717,80.57495237
17.691609894,8.2869220101e-06,2832.9775571,20.403570704
