lev_id,E_calc,J,P,lev_name
238,28.0798,4.5,-1,id 238 28.0798 4f3.(4F*).5d.(2D).(5D*).6s 6D* 4.5
239,28.1385,4.5,-1,id 239 28.1385 4f3.(4F*).5d2.(3F) 6F* 4.5
240,28.1896,3.5,-1,id 240 28.1896 4f3.(4F*).5d.(2D).(5D*).6s 4D* 3.5
241,28.1983,5.5,-1,id 241 28.1983 4f3.(4I*).5d2.(1G) 4G* 5.5
242,28.2506,3.5,-1,id 242 28.2506 4f3.(4G*).5d2.(3F) 6I* 3.5
243,28.3032,4.5,-1,id 243 28.3032 4f3.(4G*).5d.(2D).(5I*).6s 6I* 4.5
244,28.3172,6.5,-1,id 244 28.3172 4f3.(2H2*).5d.(2D).(3I*).6s 4I* 6.5
245,28.3261,6.5,-1,id 245 28.3261 4f3.(2H2*).5d.(2D).(3K*).6s 2K* 6.5
246,28.3363,5.5,-1,id 246 28.3363 4f4.(5I).6p 6H* 5.5
247,28.354,4.5,-1,id 247 28.3540 4f3.(4F*).5d.(2D).(5F*).6s 4F* 4.5
248,28.419,8.5,-1,id 248 28.4190 4f4.(5I).6p 6K* 8.5
249,28.451,9.5,-1,id 249 28.4510 4f3.(4I*).5d2.(1D) 4L* 9.5
250,28.4519,4.5,-1,id 250 28.4519 4f3.(4F*).5d2.(3P) 6F* 4.5
251,28.4687,3.5,-1,id 251 28.4687 4f3.(2H2*).5d.(2D).(3F*).6s 4F* 3.5
252,28.4822,7.5,-1,id 252 28.4822 4f3.(4I*).5d2.(3P) 4I* 7.5
253,28.5639,3.5,-1,id 253 28.5639 4f3.(4F*).5d2.(3F) 4D* 3.5
254,28.5727,5.5,-1,id 254 28.5727 4f3.(4G*).5d2.(3F) 6K* 5.5
255,28.5901,6.5,-1,id 255 28.5901 4f3.(4G*).5d2.(3F) 6K* 6.5
256,28.6522,4.5,-1,id 256 28.6522 4f3.(4F*).5d2.(3F) 6D* 4.5
257,28.6881,8.5,-1,id 257 28.6881 4f3.(2H2*).5d2.(3F) 4L* 8.5
258,28.7627,7.5,-1,id 258 28.7627 4f3.(4I*).5d2.(3P) 4I* 7.5
259,28.7772,6.5,-1,id 259 28.7772 4f3.(2H2*).5d2.(3F) 4I* 6.5
260,28.8147,4.5,-1,id 260 28.8147 4f3.(2H2*).5d2.(3F) 4H* 4.5
261,28.8176,7.5,-1,id 261 28.8176 4f4.(5I).6p 6I* 7.5
262,28.8189,3.5,-1,id 262 28.8189 4f3.(2H2*).5d2.(3F) 4F* 3.5
263,28.8794,5.5,-1,id 263 28.8794 4f4.(5I).6p 4I* 5.5
264,28.9022,4.5,-1,id 264 28.9022 4f3.(4G*).5d2.(3F) 6I* 4.5
265,28.9026,6.5,-1,id 265 28.9026 4f3.(4G*).5d2.(3F) 6K* 6.5
266,28.9825,5.5,-1,id 266 28.9825 4f3.(4S*).5d2.(3F) 6F* 5.5
267,29.0629,4.5,-1,id 267 29.0629 4f3.(4G*).5d2.(3F) 6I* 4.5
268,29.0775,3.5,-1,id 268 29.0775 4f3.(4F*).5d2.(3F) 4G* 3.5
269,29.0927,5.5,-1,id 269 29.0927 4f3.(2G1*).5d2.(3F) 4K* 5.5
270,29.1336,8.5,-1,id 270 29.1336 4f4.(5I).6p 4K* 8.5
271,29.1786,6.5,-1,id 271 29.1786 4f3.(2H2*).5d2.(3F) 4I* 6.5
272,29.1848,4.5,-1,id 272 29.1848 4f3.(2H2*).5d.(2D).(3F*).6s 4F* 4.5
273,29.2362,3.5,-1,id 273 29.2362 4f3.(4F*).5d.(2D).(5D*).6s 4D* 3.5
274,29.2879,5.5,-1,id 274 29.2879 4f3.(4G*).5d.(2D).(5I*).6s 6I* 5.5
275,29.2883,7.5,-1,id 275 29.2883 4f3.(2H2*).5d.(2D).(3I*).6s 4I* 7.5
276,29.3603,7.5,-1,id 276 29.3603 4f4.(5I).6p 6I* 7.5
277,29.3679,4.5,-1,id 277 29.3679 4f3.(2H2*).5d.(2D).(3F*).6s 4F* 4.5
278,29.3693,5.5,-1,id 278 29.3693 4f3.(4G*).5d.(2D).(5I*).6s 6I* 5.5
279,29.394,5.5,-1,id 279 29.3940 4f3.(2H2*).5d2.(3F) 4H* 5.5
280,29.4681,6.5,-1,id 280 29.4681 4f4.(5I).6p 6H* 6.5
281,29.4945,5.5,-1,id 281 29.4945 4f4.(5I).6p 4I* 5.5
282,29.5359,4.5,-1,id 282 29.5359 4f3.(4G*).5d.(2D).(5I*).6s 4I* 4.5
283,29.5661,7.5,-1,id 283 29.5661 4f3.(2H2*).5d2.(3F) 2L* 7.5
284,29.5893,5.5,-1,id 284 29.5893 4f3.(4I*).5d2.(1G) 4G* 5.5
285,29.6576,4.5,-1,id 285 29.6576 4f3.(4F*).5d2.(3F) 2H* 4.5
286,29.6686,6.5,-1,id 286 29.6686 4f3.(4F*).5d2.(3F) 4I* 6.5
287,29.7308,4.5,-1,id 287 29.7308 4f3.(4G*).5d.(2D).(5I*).6s 4I* 4.5
288,29.7486,3.5,-1,id 288 29.7486 4f3.(4F*).5d2.(3P) 6G* 3.5
289,29.7645,6.5,-1,id 289 29.7645 4f3.(2H2*).5d.(2D).(1K*).6s 2K* 6.5
290,29.7691,5.5,-1,id 290 29.7691 4f3.(4F*).5d.(2D).(3H*).6s 2H* 5.5
291,29.8545,2.5,-1,id 291 29.8545 4f3 4F* 2.5
